id,name,category,price,sizes,colors,material,stock,description
1,Cotton Round Neck T-Shirt,men-tops,499,"S,M,L,XL","White,Black,Blue,Navy",100% Cotton,In Stock,"Comfortable daily wear cotton t-shirt with a relaxed fit. Perfect for casual outings and everyday use."
2,Oversized Graphic Tee,men-tops,699,"M,L,XL,XXL","Black,White,Olive",Cotton Blend,In Stock,"Trendy oversized fit graphic tee with bold print. Streetwear style for a modern look."
3,Formal Linen Shirt,men-tops,899,"S,M,L,XL","White,Light Blue,Beige",Linen,In Stock,"Breathable linen shirt ideal for office and formal occasions. Wrinkle-resistant finish."
4,Women Palazzo Pants,women-bottoms,749,"S,M,L","Black,Maroon,Beige",Rayon,In Stock,"Flowy palazzo pants with elastic waistband. Pair with kurti or crop top for a chic look."
5,High-Rise Skinny Jeans,women-bottoms,999,"XS,S,M,L,XL","Dark Blue,Black,Light Blue",Denim,In Stock,"Stretchable high-rise skinny jeans. Comfortable fit with 4-way stretch denim."
6,Cargo Pants,men-bottoms,849,"M,L,XL","Khaki,Black,Green",Cotton Twill,In Stock,"Utility-style cargo pants with multiple pockets. Relaxed fit for a casual vibe."
7,Anarkali Kurti Set,women-ethnic,1499,"S,M,L,XL","Red,Green,Maroon,Teal",Georgette,In Stock,"Elegant Anarkali kurti with matching palazzo. Perfect for festive and party wear."
8,Kurta Pajama Set,men-ethnic,1199,"M,L,XL,XXL","White,Maroon,Blue,Green",Cotton,In Stock,"Classic kurta pajama set for men. Ideal for festivals and cultural events."
9,Chiffon Saree with Blouse,women-ethnic,1999,"Free Size","Pink,Yellow,Blue,Green",Chiffon,In Stock,"Lightweight chiffon saree with stitched blouse. Easy to drape with elegant border work."
10,Men Oxford Formal Shoes,footwear,1499,"7,8,9,10,11","Black,Brown",Synthetic Leather,In Stock,"Classic oxford design formal shoes. Cushioned insole for all-day comfort."
11,Women Block Heel Sandals,footwear,899,"36,37,38,39,40","Black,Nude,Red",Synthetic,In Stock,"Stylish block heel sandals for women. 2.5 inch heel height for comfortable wear."
12,Canvas Sneakers,footwear,699,"6,7,8,9,10","White,Black,Red,Blue",Canvas,In Stock,"Lightweight canvas sneakers for everyday wear. Rubber sole with cushioned footbed."
13,Leather Crossbody Bag,accessories,1299,"Free Size","Black,Brown,Tan",Faux Leather,In Stock,"Compact crossbody bag with adjustable strap. Multiple compartments for organized storage."
14,Canvas Tote Bag,accessories,499,"Free Size","Beige,Black,Blue",Canvas,In Stock,"Spacious canvas tote bag. Perfect for daily commute or shopping trips."
15,Stainless Steel Watch,accessories,1799,"Free Size","Silver,Black,Gold",Stainless Steel,In Stock,"Elegant analog watch with Japanese movement. Water resistant up to 30 meters."
16,Wireless Bluetooth Earbuds,electronics,999,"Free Size","Black,White",Plastic,In Stock,"True wireless earbuds with 20-hour battery life. IPX5 water resistant with noise isolation."
17,Phone Case - Clear Transparent,electronics,299,"Free Size","Clear",TPU,In Stock,"Ultra-slim clear transparent case. Shock-absorbent with precise cutouts for all ports."
18,Laptop Sleeve 15.6 inch,electronics,699,"Free Size","Grey,Black,Blue",Neoprene,In Stock,"Padded laptop sleeve for 15.6 inch laptops. Water-resistant with zippered compartment."
19,Yoga Mat 6mm,fitness,799,"Free Size","Purple,Blue,Pink,Black",TPE,In Stock,"Non-slip yoga mat with 6mm thickness. Eco-friendly TPE material. Lightweight and portable."
20,Resistance Bands Set,fitness,499,"Free Size","Multi Color",Latex,In Stock,"Set of 3 resistance bands (light, medium, heavy). Perfect for home workouts and physiotherapy."
21,Men Running Shoes,footwear,1299,"7,8,9,10,11","Black,Blue,Grey","Mesh + EVA",In Stock,"Lightweight running shoes with breathable mesh upper. EVA midsole for superior cushioning."
22,Women Flats - Juttis,footwear,599,"36,37,38,39,40","Red,Gold,Black","Synthetic + Fabric",In Stock,"Traditional Indian juttis with modern comfort. Padded insole for all-day wear."
23,Silk Blend Dupatta,accessories,399,"Free Size","Pink,Blue,Green,Yellow",Silk Blend,In Stock,"Lightweight silk blend dupatta with elegant border. Versatile styling options for ethnic outfits."
24,Cotton Bedsheet Set,home,999,"Single,Double","Grey,Blue,Beige,Maroon",100% Cotton,In Stock,"Soft cotton bedsheet set with 2 pillow covers. Pre-shrunk fabric with fade-resistant print."
25,Metal Sunglasses,accessories,599,"Free Size","Black,Gold,Tortoise","Metal + TAC Lens",In Stock,"Polarized sunglasses with UV400 protection. Lightweight metal frame with spring hinges."
